TransactionID,Date,BusinessUnit,Region,ExpenseCategory,Revenue,COGS,OperatingExpenses,Receivables,Payables,TaxRate,GrossProfit,OperatingProfit_EBIT,TaxAmount,NetProfit,GrossMargin_%,NetMargin_%,OperatingCashFlow,Year,YearMonth
TXN20000,2024-04-12,Cloud Services,EMEA,Administrative,191620.08,77211.66,44252.32,36797.85,6077.58,0.21,114408.42,70156.1,14732.78,55423.32,59.71,28.92,24703.05,2024,2024-04
TXN20001,2025-03-11,Consumer Hardware,EMEA,Operations,219452.34,101550.11,56789.64,18896.36,5082.62,0.21,117902.23,61112.59,12833.64,48278.95,53.73,22.0,34465.21,2025,2025-03
TXN20002,2024-09-27,Consulting,EMEA,Operations,69712.59,30419.64,23308.49,5994.75,1946.28,0.21,39292.95,15984.46,3356.74,12627.72,56.36,18.11,8579.25,2024,2024-09
TXN20003,2024-04-16,SaaS Subscriptions,LATAM,Sales & Marketing,282658.29,89197.99,65194.41,17668.08,4611.09,0.21,193460.3,128265.89,26935.84,101330.05,68.44,35.85,88273.06,2024,2024-04
TXN20004,2024-03-12,SaaS Subscriptions,LATAM,R&D,185986.65,79625.66,51364.07,35202.84,4508.72,0.21,106360.99,54996.92,11549.35,43447.57,57.19,23.36,12753.45,2024,2024-03
TXN20005,2025-12-01,Consumer Hardware,APAC,Administrative,207317.08,103990.44,54501.74,28394.26,4451.07,0.21,103326.64,48824.9,10253.23,38571.67,49.84,18.61,14628.48,2025,2025-12
TXN20006,2024-01-21,SaaS Subscriptions,EMEA,R&D,182228.82,75590.33,36941.17,27344.44,4349.1,0.21,106638.49,69697.32,14636.44,55060.88,58.52,30.22,32065.54,2024,2024-01
TXN20007,2025-09-06,Consulting,EMEA,Sales & Marketing,170228.92,53279.8,54288.34,31787.96,4286.51,0.21,116949.12,62660.78,13158.76,49502.02,68.7,29.08,22000.57,2025,2025-09
TXN20008,2024-05-01,SaaS Subscriptions,EMEA,Sales & Marketing,217892.1,108198.58,45835.1,22190.79,4937.36,0.21,109693.52,63858.42,13410.27,50448.15,50.34,23.15,33194.72,2024,2024-05
TXN20009,2025-04-11,Consulting,APAC,Operations,96572.07,33833.15,26184.38,13831.64,1481.75,0.21,62738.92,36554.54,7676.45,28878.09,64.97,29.9,16528.2,2025,2025-04
TXN20010,2024-08-02,Cloud Services,EMEA,Administrative,104578.44,38135.07,29710.92,5837.56,2053.88,0.21,66443.37,36732.45,7713.81,29018.64,63.53,27.75,25234.96,2024,2024-08
TXN20011,2024-11-26,Consulting,LATAM,COGS,308535.69,105265.15,90790.94,24070.68,8238.42,0.21,203270.54,112479.6,23620.72,88858.88,65.88,28.8,73026.62,2024,2024-11
TXN20012,2025-04-03,Enterprise Solutions,EMEA,Sales & Marketing,333834.64,127709.7,101250.29,58316.53,14549.15,0.21,206124.94,104874.65,22023.68,82850.97,61.74,24.82,39083.59,2025,2025-04
TXN20013,2024-03-28,Enterprise Solutions,North America,Administrative,161992.79,79244.91,38552.8,26731.28,3382.05,0.21,82747.88,44195.08,9280.97,34914.11,51.08,21.55,11564.88,2024,2024-03
TXN20014,2025-01-07,Enterprise Solutions,LATAM,R&D,131223.4,56405.92,26441.1,13463.05,3077.94,0.21,74817.48,48376.38,10159.04,38217.34,57.02,29.12,27832.23,2025,2025-01
TXN20015,2024-04-09,Consumer Hardware,APAC,Operations,243199.86,85416.73,75031.18,25906.04,5665.51,0.21,157783.13,82751.95,17377.91,65374.04,64.88,26.88,45133.51,2024,2024-04
TXN20016,2025-10-25,Consumer Hardware,EMEA,R&D,172620.25,89668.89,48393.83,22446.36,3034.46,0.21,82951.36,34557.53,7257.08,27300.45,48.05,15.82,7888.55,2025,2025-10
TXN20017,2024-05-10,Consumer Hardware,North America,Sales & Marketing,57615.91,29954.25,18749.23,2882.88,1047.21,0.21,27661.66,8912.43,1871.61,7040.82,48.01,12.22,5205.15,2024,2024-05
TXN20018,2025-10-23,Consulting,APAC,Sales & Marketing,96845.78,50131.7,31301.36,8346.81,2521.05,0.21,46714.08,15412.72,3236.67,12176.05,48.24,12.57,6350.29,2025,2025-10
TXN20019,2024-11-04,Consumer Hardware,APAC,R&D,264791.67,95245.31,86454.2,21510.29,5685.76,0.21,169546.36,83092.16,17449.35,65642.81,64.03,24.79,49818.28,2024,2024-11
TXN20020,2024-12-09,Cloud Services,LATAM,Sales & Marketing,247677.18,102243.58,67557.47,21689.7,4553.44,0.21,145433.6,77876.13,16353.99,61522.14,58.72,24.84,44385.88,2024,2024-12
TXN20021,2025-05-06,Enterprise Solutions,APAC,Administrative,58128.8,31752.71,14534.77,9933.39,1832.48,0.21,26376.09,11841.32,2486.68,9354.64,45.38,16.09,1253.73,2025,2025-05
TXN20022,2025-02-17,Consulting,APAC,Sales & Marketing,116591.65,57480.05,37161.69,10720.73,1916.94,0.21,59111.6,21949.91,4609.48,17340.43,50.7,14.87,8536.64,2025,2025-02
TXN20023,2025-01-20,Enterprise Solutions,APAC,Operations,119322.44,36607.15,31941.91,9394.04,3378.85,0.21,82715.29,50773.38,10662.41,40110.97,69.32,33.62,34095.78,2025,2025-01
TXN20024,2024-07-10,Consumer Hardware,APAC,Administrative,251567.82,79571.19,57235.79,31606.86,5033.67,0.21,171996.63,114760.84,24099.78,90661.06,68.37,36.04,64087.87,2024,2024-07
TXN20025,2024-10-03,Consulting,EMEA,COGS,55913.16,23258.92,18353.28,10055.8,1847.35,0.21,32654.24,14300.96,3003.2,11297.76,58.4,20.21,3089.31,2024,2024-10
TXN20026,2024-06-09,SaaS Subscriptions,EMEA,Sales & Marketing,81232.57,42834.35,27000.41,7002.45,2869.68,0.21,38398.22,11397.81,2393.54,9004.27,47.27,11.08,4871.5,2024,2024-06
TXN20027,2025-04-04,Cloud Services,EMEA,Sales & Marketing,289974.83,126044.94,78277.68,17914.77,6366.85,0.21,163929.89,85652.21,17986.96,67665.25,56.53,23.33,56117.33,2025,2025-04
TXN20028,2024-11-09,Consumer Hardware,EMEA,Operations,103563.4,43957.81,21888.64,10714.74,1740.38,0.21,59605.59,37716.95,7920.56,29796.39,57.55,28.77,20822.03,2024,2024-11
TXN20029,2024-01-22,Consumer Hardware,North America,Operations,245823.83,80229.14,63465.3,39859.79,7827.82,0.21,165594.69,102129.39,21447.17,80682.22,67.36,32.82,48650.25,2024,2024-01
TXN20030,2024-09-09,Cloud Services,EMEA,R&D,121454.83,56378.73,38930.0,16105.35,5338.38,0.21,65076.1,26146.1,5490.68,20655.42,53.58,17.01,9888.45,2024,2024-09
TXN20031,2025-07-14,Cloud Services,APAC,R&D,79832.42,40357.35,26765.1,13772.61,1853.7,0.21,39475.07,12709.97,2669.09,10040.88,49.45,12.58,-1878.03,2025,2025-07
TXN20032,2025-04-19,SaaS Subscriptions,EMEA,R&D,122951.66,48578.81,28342.93,23845.1,1693.83,0.21,74372.85,46029.92,9666.28,36363.64,60.49,29.58,14212.37,2025,2025-04
TXN20033,2024-02-28,Consumer Hardware,EMEA,Operations,266680.08,131714.08,56015.1,45042.1,7829.77,0.21,134966.0,78950.9,16579.69,62371.21,50.61,23.39,25158.88,2024,2024-02
TXN20034,2025-05-25,Consumer Hardware,LATAM,R&D,306708.94,165966.09,101705.47,43114.22,8643.9,0.21,140742.85,39037.38,8197.85,30839.53,45.89,10.05,-3630.79,2025,2025-05
TXN20035,2025-11-12,Enterprise Solutions,APAC,R&D,299065.96,104954.69,77281.86,37084.55,8124.78,0.21,194111.27,116829.41,24534.18,92295.23,64.91,30.86,63335.46,2025,2025-11
TXN20036,2025-04-20,Consulting,EMEA,COGS,169155.06,72877.48,47577.25,9474.44,4089.47,0.21,96277.58,48700.33,10227.07,38473.26,56.92,22.74,33088.29,2025,2025-04
TXN20037,2025-11-30,Consulting,EMEA,R&D,250425.54,93104.33,86449.37,49496.18,5410.02,0.21,157321.21,70871.84,14883.09,55988.75,62.82,22.36,11902.59,2025,2025-11
TXN20038,2024-07-08,Enterprise Solutions,EMEA,Sales & Marketing,111495.29,55548.47,23412.31,11988.22,2550.38,0.21,55946.82,32534.51,6832.25,25702.26,50.18,23.05,16264.42,2024,2024-07
TXN20039,2025-11-17,Consulting,North America,Operations,137944.32,61302.23,41003.63,10047.07,4203.45,0.21,76642.09,35638.46,7484.08,28154.38,55.56,20.41,22310.76,2025,2025-11
TXN20040,2025-07-16,Cloud Services,EMEA,Administrative,318900.75,146262.43,67324.99,47837.13,4732.9,0.21,172638.32,105313.33,22115.8,83197.53,54.14,26.09,40093.3,2025,2025-07
TXN20041,2025-07-20,Consulting,LATAM,COGS,53900.58,26922.18,13815.81,4993.52,1315.08,0.21,26978.4,13162.59,2764.14,10398.45,50.05,19.29,6720.01,2025,2025-07
