YearMonth,Total_Revenue,Total_COGS,Total_OpEx,Total_Net_Profit,Total_Cash_Flow,Net_Profit_Margin_%
2024-01,10482904.43,4426637.75,2777330.09,2590359.9,1465047.35,24.71
2024-02,11901076.26,5029245.2,3208571.45,2893975.09,1891119.76,24.32
2024-03,8905870.91,3852430.55,2363570.12,2124997.47,1258948.98,23.86
2024-04,11249706.61,4666817.72,3069139.61,2775861.89,1835352.71,24.67
2024-05,9808202.6,4359533.4,2667334.62,2192839.24,1332653.3699999999,22.36
2024-06,10558467.7,4444039.82,2784387.82,2630731.69,1592162.55,24.92
2024-07,8427170.04,3644840.71,2239368.66,2008938.93,1167030.91,23.84
2024-08,12764702.09,5558673.89,3490748.275,2935071.13,1670174.93,22.99
2024-09,8898351.28,3703874.31,2503540.065,2125840.16,1169609.24,23.89
2024-10,9372276.96,3908464.65,2562541.63,2292003.8,1369506.11,24.46
2024-11,8344908.19,3474734.22,2310784.55,2021917.64,1198154.65,24.23
2024-12,9904186.62,4110807.5,2627456.14,2501079.11,1595178.17,25.25
2025-01,10473723.06,4269843.47,2803748.95,2686103.24,1648037.64,25.65
2025-02,10541502.83,4486244.17,2955975.9,2448433.38,1568848.57,23.23
2025-03,8667355.27,3602899.03,2342988.23,2149959.73,1311105.1,24.81
2025-04,9487273.73,4137372.84,2630686.32,2148179.54,1234291.06,22.64
2025-05,11956077.81,5061663.07,3373837.29,2781256.18,1593675.53,23.26
2025-06,6692585.92,2752672.55,1803419.01,1687830.55,1204543.21,25.22
2025-07,12645228.44,5280726.43,3519554.01,3037508.94,1794216.16,24.02
2025-08,6069178.33,2622571.12,1693322.69,1385094.76,806914.3200000001,22.82
2025-09,10587513.57,4704323.64,2911072.89,2347972.45,1265060.58,22.18
2025-10,12620539.36,5389130.6,3505534.44,2943440.75,1784291.83,23.32
2025-11,11360956.27,4681916.69,3095726.68,2830817.18,1604606.96,24.92
2025-12,8136936.38,3563886.45,2214165.67,1863518.57,1115626.41,22.9
